BarnName,Index,DHIID,RFID,AgeMons_Ref,HfrMerit$,DateDue,SireCode,MGSCode,DamName,DamPTAM,DamPTAF,DamPTAP,DamMerit$,SireMerit$
8261 ,8261,000000000,,9,+97,,HB,14HO3597,6592,-193,+4,-9,+194,
8366 ,8366,47VEB6858,,8,+97,,751HO9554,1HO6721,6654,+422,-11,+5,+194,
8367 ,8367,47VEB6898,,8,+97,,751HO9554,1HO6721,6654,+422,-11,+5,+194,
8194 ,8194,000000000,,10,+96,,HB,1HO6833,6537,+64,+6,+5,+191,
8242 ,8242,000000000,,9,+96,,HB,1HO6833,6517,-397,+16,-13,+191,
7052 ,7052,47VCP2068,,25,+95,4-05,1HO7336,,3720,,,,,+190
7470 ,7470,47VCP2666,,20,+95,8-15,1HO7336,,2440,,,,,+190
7477 ,7477,47VCP2647,,20,+95,6-22,1HO7336,,4412,,,,,+190
7496 ,7496,47VCP2635,,20,+95,6-23,501HO7336,,,,,,,+190
7738 ,7738,47VEB5294,,17,+95,8-15,1HO7336,,4426,,,,,+190
7745 ,7745,47VEB5299,,16,+95,9-28,1HO7336,,2461,,,,,+190
7764 ,7764,47VEB5315,,16,+95,9-03,7HO8175,,4603,,,,,+190
7873 ,7873,47VEB6050,,15,+95,,7HO8175,,3871,,,,,+190
8314 ,8314,47VEV6862,,8,+95,,1HO7336,,4606,,,,,+190
7446 ,7446,47VCP2627,,20,+94,5-25,1HO9670,1HO5588,5029,+645,-2,+7,-19,+206
7447 ,7447,47VCP2626,,20,+94,6-10,1HO9670,1HO5588,5029,+645,-2,+7,-19,+206
7428 ,7428,47VCP2643,,21,+93,5-23,1HO6168,11HO5486,5409,+1020,-7,+19,+196,-11
8192 ,8192,47VEB6551,,10,+92,,HB,507HO6168,6494,+368,-6,+22,+184,
7228 ,7228,000000000,,23,+90,3-07,507HO6838,1HO8863,5977,-727,-1,-17,-47,+227
8228 ,8228,000000000,,10,+89,,HB,1HO5045,6578,+206,+23,+20,+178,
8312 ,8312,47VEB6899,,8,+89,,1HO9106,507HO6695,6733,-297,+26,-6,+75,+103
7459 ,7459,47VCP2630,,20,+88,5-27,1HO9483,29HO10321,5117,-6,+1,+5,+53,+123
7497 ,7497,47VCP2572,,20,+88,5-19,1HO9670,1HO2406,5274,-132,-18,-6,-30,+206
